CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8536510,2018,2018-01-24,1942,2018-01-01,0235,42735,0946,1,5,7,1942,0,0,0,I,0,9A37,"MAMMOTH AV","OXNARD ST",3.00,,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,Y,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.43235015869141,34.179401397705078
8561936,2018,2018-02-26,1942,2018-01-01,0940,43128,2055,1,5,7,1942,0,0,0,,0,,"FEDORA ST","OLYMPIC BL",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29791259765625,34.052650451660156
8597717,2018,2018-04-20,1942,2018-04-05,1500,41800,1849,4,5,7,1942,0,0,0,R,0,18X38,"11TH ST","GRAPE ST",300.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,N,C,B,-,A,H,-,A,D,0,Y,,,,Y,,-,"- ",0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.23537445068359,33.934288024902344
8619892,2018,2018-05-22,1942,2018-05-04,0715,27792,0929,5,5,7,1942,0,0,0,I,0,9A19,"GREENBUSH AV","KITTRIDGE ST",15.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,3,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.42579650878906,34.190311431884766
8626491,2018,2018-06-06,1942,2018-05-15,1850,40123,2029,2,5,7,1942,0,0,0,,0,20A58,"6TH ST","COMMONWEALTH AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28566741943359,34.063709259033203
8648408,2018,2020-05-22,1942,2018-11-22,0307,42344,1729,4,5,7,1942,0,0,0,Q,0,17A35,"BALBOA BL","RONALD REAGAN FWY",19.00,S,N,C,-,N,,,,,,,,,,Y,1,1,1,2,A,-,11,21954,A,N,G,B,D,B,H,-,C,A,0,Y,,,,Y,,N,60,0,1,0,1,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",,
8775401,2018,2019-02-15,1942,2018-12-12,1800,38434,1241,3,5,7,1942,0,0,0,L,0,12X18,"WEST BL","67TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,,F,G,B,B,A,H,-,C,D,0,Y,,,,Y,,-,99,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.33522033691406,33.978099822998047
8662882,2018,2018-07-18,1942,2018-06-23,1315,41671,2027,6,5,7,1942,0,0,0,,0,20A45,"ALEXANDRIA AV","6TH ST",200.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,21,22106,,F,G,B,D,A,H,-,A,D,0,Y,,,,Y,,-,99,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29792785644531,34.063060760498047
8669813,2018,2018-09-10,1942,2018-07-20,2100,43252,0374,5,5,7,1942,0,0,0,C,0,3A18,"MARTIN LUTHER KING JR BL","ARLINGTON AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21106,B,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.31825256347656,34.010818481445312
8672273,2018,2018-08-16,1942,2018-07-02,1827,43005,1805,1,5,7,1942,0,0,0,R,0,18A34,"E 89TH ST","TOWNE AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21956,A,N,G,B,D,A,H,-,A,A,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.26737213134766,33.955570220947266
8684334,2018,2018-09-06,1942,2018-06-17,2120,43118,0221,7,5,7,1942,0,0,0,B,0,20A34,"N VERMONT AV","BEVERLY BL",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21955,,M,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29168701171875,34.076320648193359
8705538,2018,2018-10-30,1942,2018-09-23,1210,33599,1801,7,5,7,1942,0,0,0,R,0,18A1,"HOOVER ST","MANCHESTER AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,07,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.28706359863281,33.960048675537109
8763738,2018,2019-01-02,1942,2018-11-27,1045,25635,0505,2,5,7,1942,0,0,0,E,0,5A85,"VERMONT AV","FRANCISCO ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,99,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.29051971435547,33.849838256835938
8558939,2018,2018-02-22,1942,2018-01-23,2010,42230,1496,2,5,7,1942,0,0,0,N,0,14A67,"VICKSBURG AV","CENTURY BL",200.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21956,A,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.39395904541016,33.946159362792969
8569898,2018,2018-03-26,1942,2018-03-05,1900,42417,1504,1,5,7,1942,0,0,0,O,0,15A3,"SHERMAN WAY","LANKERSHIM BL",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.38777923583984,34.201190948486328
8574780,2018,2018-03-26,1942,2018-02-26,2055,42312,0161,1,5,7,1942,0,0,0,A,0,1A41,"JAMES M WOOD BL","FRANCISCO ST",0.00,,Y,C,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,B,H,-,C,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.26467895507812,34.047000885009766
8603604,2018,2018-05-07,1942,2018-04-24,0830,32372,1952,2,5,7,1942,0,0,0,,0,19A43,"SEPULVEDA BL","DEVONSHIRE ST",105.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21954,B,F,G,B,E,A,H,-,A,D,0,Y,,,,Y,,-,99,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.46747589111328,34.257022857666016
8604770,2018,2018-05-10,1942,2018-04-23,1245,42344,1523,1,5,7,1942,0,0,0,O,0,15A33,"COLDWATER CANYON AV","SYLVAN ST",12.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,21,22106,,F,G,B,E,A,H,-,A,D,0,Y,,,,Y,,-,99,0,0,1,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.41378784179688,34.184902191162109
8609050,2018,2018-05-15,1942,2018-04-11,2000,40929,1454,3,5,7,1942,0,0,0,N,0,14A27,"MAXELLA AV","GLENCOE AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,-,-,C,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.4403076171875,33.987220764160156
8748853,2018,2019-01-19,1942,2018-11-06,2325,39022,0646,2,5,7,1942,0,0,0,F,0,6A63,"VINE ST","HOLLYWOOD BL",350.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21456,B,F,G,B,C,A,H,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.32669830322266,34.102558135986328
8767143,2018,2019-01-08,1942,2018-12-12,1815,39410,1798,3,5,7,1942,0,0,0,Q,0,17A95,"NORDHOFF ST","GLORIA AV",10.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,F,G,B,B,A,H,-,C,A,0,Y,,,,Y,,-,99,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.48067474365234,34.235599517822266
8791928,2018,2019-02-11,1942,2018-11-22,1705,34426,0249,4,5,7,1942,0,0,0,B,0,2A69,"4TH ST","ALAMEDA ST",200.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21954,A,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.23876190185547,34.043449401855469
90785127,2018,2018-08-06,9590,2018-03-18,0205,021535,,7,3,7,1942,0,1,1,,2,085,"I-5 SOUTHBOUND (GOLDEN STATE FREEWAY)","GILROY STREET (SOUTH EDGE)",65.00,S,N,A,-,Y,,,5,,,,,,S,Y,1,1,0,3,A,-,01,23152,A,N,H,C,E,A,C,-,C,D,0,Y,,Y,,Y,Y,A,01,0,0,0,1,0,0,0,0,0,"- ","- ",34.104530334472656,-118.25290679931641,"LOS ANGELES","LOS ANGELES",-118.25289154052734,34.104557037353516
